wavelength_um,radius_arcsec
2.9190035,0.45
2.9212995,0.45
2.9235957,0.45
2.9258916,0.45
2.9281876,0.45
2.9304838,0.45
2.9327798,0.45
2.9350758,0.45
2.937372,0.45
2.939668,0.45
2.941964,0.45
2.94426,0.45
2.946556,0.45
2.948852,0.45
2.951148,0.45
2.9534442,0.45
2.9557402,0.45
2.9580362,0.45
2.9603324,0.45
2.9626284,0.45
2.9649243,0.45
2.9672205,0.45
2.9695165,0.45
2.9718125,0.45
2.9741085,0.45
2.9764047,0.45
2.9787006,0.45
2.9809966,0.45
2.9832928,0.45
2.9855888,0.45
2.9878848,0.45
2.990181,0.45
2.992477,0.45
2.994773,0.45
2.997069,0.45
2.999365,0.45
3.001661,0.45
3.003957,0.45
3.0062532,0.45
3.0085492,0.45
3.0108452,0.45
3.0131414,0.45
3.0154374,0.45
3.0177333,0.45
3.0200293,0.45
3.0223255,0.45
3.0246215,0.45
3.0269175,0.45
3.0292137,0.45
3.0315096,0.45
3.0338056,0.45
3.0361018,0.45
3.0383978,0.45
3.0406938,0.45
3.04299,0.45
3.045286,0.45
3.047582,0.45
3.049878,0.45
3.052174,0.45
3.05447,0.45
3.056766,0.45
3.0590622,0.45
3.0613582,0.45
3.0636542,0.45
3.0659504,0.45
3.0682464,0.45
3.0705423,0.45
3.0728383,0.45
3.0751345,0.45
3.0774305,0.45
3.0797265,0.45
3.0820227,0.45
3.0843186,0.45
3.0866146,0.45
3.0889108,0.45
3.0912068,0.45
3.0935028,0.45
3.0957987,0.45
3.098095,0.45
3.100391,0.45
3.102687,0.45
3.104983,0.45
3.107279,0.45
3.109575,0.45
3.1118712,0.45
3.1141672,0.45
3.1164632,0.45
3.1187592,0.45
3.1210554,0.45
3.1233513,0.45
3.1256473,0.45
3.1279435,0.45
3.1302395,0.45
3.1325355,0.45
3.1348317,0.45
3.1371276,0.45
3.1394236,0.45
3.1417198,0.45
3.1440158,0.45
3.1463118,0.45
3.1486077,0.45
3.150904,0.45
3.1532,0.45
3.155496,0.45
3.157792,0.45
3.160088,0.45
3.162384,0.45
3.1646802,0.45
3.1669762,0.45
3.1692722,0.45
3.1715682,0.45
3.1738644,0.45
3.1761603,0.45
3.1784563,0.45
3.1807525,0.45
3.1830485,0.45
3.1853445,0.45
3.1876407,0.45
3.1899366,0.45
3.1922326,0.45
3.1945286,0.45
3.1968248,0.45
3.1991208,0.45
3.2014167,0.45
3.203713,0.45
3.206009,0.45
3.208305,0.45
3.210601,0.45
3.212897,0.45
3.215193,0.45
3.2174892,0.45
3.2197852,0.45
3.2220812,0.45
3.2243772,0.45
3.2266734,0.45
3.2289693,0.45
3.2312653,0.45
3.2335615,0.45
3.2358575,0.45
3.2381535,0.45
3.2404497,0.45
3.2427456,0.45
3.2450416,0.45
3.2473376,0.45
3.2496338,0.45
3.2519298,0.45
3.2542257,0.45
3.256522,0.45
3.258818,0.45
3.261114,0.45
3.26341,0.45
3.265706,0.45
3.268002,0.45
3.270298,0.45
3.2725942,0.45
3.2748902,0.45
3.2771862,0.45
3.2794824,0.45
3.2817783,0.45
3.2840743,0.45
3.2863705,0.45
3.2886665,0.45
3.2909625,0.45
3.2932584,0.45
3.2955546,0.45
3.2978506,0.45
3.3001466,0.45
3.3024428,0.45
3.3047388,0.45
3.3070347,0.45
3.309331,0.45
3.311627,0.45
3.313923,0.45
3.316219,0.45
3.318515,0.45
3.320811,0.45
3.323107,0.45
3.3254032,0.45
3.3276992,0.45
3.3299952,0.45
3.3322914,0.45
3.3345873,0.45
3.3368833,0.45
3.3391795,0.45
3.3414755,0.45
3.3437715,0.45
3.3460674,0.45
3.3483636,0.45
3.3506596,0.45
3.3529556,0.45
3.3552518,0.45
3.3575478,0.45
3.3598437,0.45
3.36214,0.45
3.364436,0.45
3.366732,0.45
3.3690279,0.45
3.371324,0.45
3.37362,0.45
3.375916,0.45
3.3782122,0.45
3.3805082,0.45
3.3828042,0.45
3.3851004,0.45
3.3873963,0.45
3.3896923,0.45
3.3919885,0.45
3.3942845,0.45
3.3965805,0.45
3.3988764,0.45
3.4011726,0.45
3.4034686,0.45
3.4057646,0.45
3.4080608,0.45
3.4103568,0.45
3.4126527,0.45
3.414949,0.45
3.417245,0.45
3.419541,0.45
3.4218369,0.45
3.424133,0.45
3.426429,0.45
3.428725,0.45
3.4310212,0.45
3.4333172,0.45
3.4356132,0.45
3.4379094,0.45
3.4402053,0.45
3.4425013,0.45
3.4447973,0.45
3.4470935,0.45
3.4493895,0.45
3.4516854,0.45
3.4539816,0.45
3.4562776,0.45
3.4585736,0.45
3.4608698,0.45
3.4631658,0.45
3.4654617,0.45
3.4677577,0.45
3.470054,0.45
3.47235,0.45
3.4746459,0.45
3.476942,0.45
3.479238,0.45
3.481534,0.45
3.4838302,0.45
3.4861262,0.45
3.4884222,0.45
3.4907184,0.45
3.4930143,0.45
3.4953103,0.45
3.4976063,0.45
3.4999025,0.45
3.5021985,0.45
3.5044944,0.45
3.5067906,0.45
3.5090866,0.45
3.5113826,0.45
3.5136788,0.45
3.5159748,0.45
3.5182707,0.45
3.5205667,0.45
3.522863,0.45
3.525159,0.45
3.5274549,0.45
3.529751,0.45
3.532047,0.45
3.534343,0.45
3.5366392,0.45
3.5389352,0.45
3.5412312,0.45
3.5435271,0.45
3.5458233,0.45
3.5481193,0.45
3.5504153,0.45
3.5527115,0.45
3.5550075,0.45
3.5573034,0.45
3.5595996,0.45
3.5618956,0.45
3.5641916,0.45
3.5664878,0.45
3.5687838,0.45
3.5710797,0.45
3.5733757,0.45
